BA,Total_Load_Time_UTC,Total_Load_MWh,Transportation_Load_Penetration_Ratio,Non-Transportation_Load_Time_UTC,Non-Transportation_Load_MWh,Time_Shifting_in_hours
AVA,2025-02-04 17:00:00,2751.21,1.4499074952475457,2025-02-04 17:00:00,2711.32,0.0
AZPS,2025-07-08 01:00:00,8787.15,6.080924987054961,2025-07-08 01:00:00,8252.81,0.0
BANC,2025-07-10 01:00:00,5507.06,4.29811914161095,2025-07-10 01:00:00,5270.36,0.0
BPAT,2025-02-04 16:00:00,12225.94,2.2506244918591127,2025-02-04 16:00:00,11950.78,0.0
CHPD,2025-02-04 16:00:00,546.13,1.1572336256935163,2025-02-04 16:00:00,539.81,0.0
CISO,2025-07-09 01:00:00,61396.52,5.098595164677087,2025-07-09 01:00:00,58266.16,0.0
DOPD,2025-02-03 16:00:00,404.19,0.30926049630124447,2025-02-03 16:00:00,402.94,0.0
EPE,2025-06-17 23:00:00,1892.92,2.2916974832533863,2025-06-17 23:00:00,1849.54,0.0
GCPD,2025-07-10 00:00:00,1064.28,0.6661780734393205,2025-07-10 00:00:00,1057.19,0.0
IID,2025-07-02 01:00:00,1688.16,24.976897924367357,2025-07-02 01:00:00,1266.51,0.0
IPCO,2025-07-07 01:00:00,4171.15,1.9886602016230537,2025-07-07 01:00:00,4088.2,0.0
LDWP,2025-08-25 00:00:00,8926.7,13.546439333684338,2025-08-25 00:00:00,7717.45,0.0
NEVP,2025-07-06 01:00:00,10132.38,2.7421000791521832,2025-07-06 01:00:00,9854.54,0.0
NWMT,2025-07-10 00:00:00,1669.89,3.985292444412506,2025-07-10 00:00:00,1603.34,0.0
PACE,2025-07-07 00:00:00,10272.55,2.37964283454449,2025-07-07 00:00:00,10028.1,0.0
PACW,2025-02-04 16:00:00,4101.11,1.6641835990743972,2025-02-04 16:00:00,4032.86,0.0
PGE,2025-07-20 01:00:00,4655.95,5.896326206252215,2025-07-20 01:00:00,4381.42,0.0
PNM,2025-07-07 23:00:00,3131.18,4.353630260796249,2025-07-07 22:00:00,3001.21,1.0
PSCO,2025-06-09 00:00:00,9379.95,3.646074872467337,2025-06-09 00:00:00,9037.95,0.0
PSEI,2025-12-02 03:00:00,6900.96,3.344027497623519,2025-12-02 03:00:00,6670.19,0.0
SCL,2025-12-02 03:00:00,2234.03,4.221966580574119,2025-12-02 03:00:00,2139.71,0.0
SRP,2025-07-09 01:00:00,7968.12,0.5265984950025853,2025-07-09 01:00:00,7926.16,0.0
TEPC,2025-07-03 01:00:00,3725.02,3.1479025615969847,2025-07-03 01:00:00,3607.76,0.0
TIDC,2025-07-09 23:00:00,786.09,3.639532369067155,2025-07-09 23:00:00,757.48,0.0
TPWR,2025-12-02 01:00:00,1168.0,4.085616438356165,2025-12-02 03:00:00,1124.76,-2.0
WACM,2025-07-08 00:00:00,5205.68,4.809169983556423,2025-07-08 00:00:00,4955.33,0.0
WALC,2025-07-04 22:00:00,2006.87,3.440681259872339,2025-07-04 22:00:00,1937.82,0.0
WAUW,2025-07-11 00:00:00,167.97,12.353396439840449,2025-07-11 00:00:00,147.22,0.0
