BA,Total_Load_Time_UTC,Total_Load_MWh,Transportation_Load_Penetration_Ratio,Non-Transportation_Load_Time_UTC,Non-Transportation_Load_MWh,Time_Shifting_in_hours
AVA,2050-11-25 03:00:00,5252.3,11.595681891742665,2050-11-23 03:00:00,4658.58,48.0
AZPS,2050-07-16 01:00:00,15897.48,24.14967655251021,2050-07-15 23:00:00,12327.97,2.0
BANC,2050-08-25 23:00:00,11982.7,10.574244535872548,2050-08-25 23:00:00,10715.62,0.0
BPAT,2050-11-23 16:00:00,23252.45,11.40817419239693,2050-11-23 16:00:00,20599.77,0.0
CHPD,2050-12-31 17:00:00,1414.17,34.90245161472807,2050-12-31 17:00:00,920.59,0.0
CISO,2050-08-26 01:00:00,136336.12,13.136408752134063,2050-08-26 01:00:00,118426.45,0.0
DOPD,2050-11-24 17:00:00,784.64,4.34211867862969,2050-11-24 17:00:00,750.57,0.0
EPE,2050-06-06 22:00:00,5813.05,3.473907845279156,2050-06-06 22:00:00,5611.11,0.0
GCPD,2050-07-10 00:00:00,2013.48,2.6133857798438522,2050-07-10 00:00:00,1960.86,0.0
IID,2050-08-25 02:00:00,5389.54,57.429947639316154,2050-07-18 00:00:00,2460.6,914.0
IPCO,2050-07-19 00:00:00,8970.08,8.064588052726398,2050-07-19 00:00:00,8246.68,0.0
LDWP,2050-09-28 01:00:00,24821.17,37.59625352068416,2050-07-15 23:00:00,16707.8,1778.0
NEVP,2050-07-19 01:00:00,19217.16,11.54520230876987,2050-07-18 23:00:00,17248.31,2.0
NWMT,2050-08-01 00:00:00,3872.57,14.608644905063045,2050-08-01 00:00:00,3306.84,0.0
PACE,2050-07-17 00:00:00,24925.94,9.544434432563024,2050-07-17 00:00:00,22546.9,0.0
PACW,2050-07-25 01:00:00,7638.84,7.441574898806626,2050-07-25 01:00:00,7070.39,0.0
PGE,2050-07-09 01:00:00,9236.2,14.861523137220933,2050-07-09 01:00:00,7863.56,0.0
PNM,2050-07-19 00:00:00,9609.48,13.74371974342004,2050-07-19 23:00:00,8358.14,-23.0
PSCO,2050-07-20 00:00:00,26016.53,9.928457023284812,2050-07-20 00:00:00,23433.49,0.0
PSEI,2050-11-25 03:00:00,14025.07,17.30144662379582,2050-11-25 03:00:00,11598.53,0.0
SCL,2050-11-23 03:00:00,4753.58,23.42360915352219,2050-11-23 03:00:00,3640.12,0.0
SRP,2050-07-15 23:00:00,12218.24,3.0714734691739562,2050-07-15 23:00:00,11842.96,0.0
TEPC,2050-07-16 01:00:00,6034.39,13.946065799525718,2050-07-15 23:00:00,5277.89,2.0
TIDC,2050-08-25 23:00:00,1711.39,7.534226564371651,2050-08-25 23:00:00,1582.45,0.0
TPWR,2050-11-25 03:00:00,2551.45,24.48019753473515,2050-11-23 18:00:00,1939.69,33.0
WACM,2050-07-18 00:00:00,14690.5,9.026241448555188,2050-07-18 00:00:00,13364.5,0.0
WALC,2050-08-25 01:00:00,4808.14,30.506183264214435,2050-08-25 22:00:00,3343.93,-21.0
WAUW,2050-08-01 00:00:00,432.04,21.7549300990649,2050-08-01 00:00:00,338.05,0.0
