BA,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
AVA,0,1835.7562191780823,44.53876712328768,1791.2174520547944
AVA,1,1877.9165479452056,50.25580821917808,1827.6607397260275
AVA,2,1893.8053424657533,46.718520547945204,1847.086821917808
AVA,3,1885.5131780821919,40.23756164383561,1845.275616438356
AVA,4,1839.3104931506848,35.695150684931505,1803.6153424657537
AVA,5,1739.2758904109587,31.04295890410959,1708.2329315068494
AVA,6,1635.9901643835615,26.585123287671234,1609.4050410958907
AVA,7,1533.1254520547946,20.207534246575342,1512.9179178082193
AVA,8,1441.26298630137,16.041890410958903,1425.2210958904109
AVA,9,1378.2941643835616,13.409479452054796,1364.8846849315069
AVA,10,1345.5451780821918,11.637397260273971,1333.9077808219179
AVA,11,1344.736493150685,10.705616438356165,1334.0308767123288
AVA,12,1381.8585479452054,11.045808219178083,1370.8127397260273
AVA,13,1465.3900273972606,14.605972602739726,1450.7840547945204
AVA,14,1568.5247397260275,20.853643835616438,1547.671095890411
AVA,15,1672.4260273972602,30.78912328767123,1641.636904109589
AVA,16,1748.120602739726,30.772876712328767,1717.3477260273971
AVA,17,1783.9392602739729,28.665972602739732,1755.2732876712328
AVA,18,1796.6259452054794,26.380383561643836,1770.2455616438356
AVA,19,1803.8476164383565,27.16249315068493,1776.6851232876713
AVA,20,1807.6892054794523,28.499287671232874,1779.1899178082194
AVA,21,1806.6226849315067,28.446246575342467,1778.1764383561645
AVA,22,1806.775808219178,31.80142465753425,1774.9743835616441
AVA,23,1806.608794520548,37.116328767123285,1769.4924657534248
AZPS,0,4984.882794520548,436.73599999999993,4548.146794520548
AZPS,1,5161.843287671232,468.63731506849314,4693.205972602739
AZPS,2,5097.625726027398,396.2292876712329,4701.396438356165
AZPS,3,4936.180657534247,337.8889315068493,4598.291726027397
AZPS,4,4746.22698630137,293.13109589041096,4453.095890410959
AZPS,5,4429.602,245.31687671232876,4184.285123287671
AZPS,6,4111.354931506849,208.9867397260274,3902.368191780822
AZPS,7,3801.864164383562,160.72561643835616,3641.1385479452056
AZPS,8,3543.5483013698627,133.7770684931507,3409.7712328767125
AZPS,9,3363.8271780821924,117.90572602739725,3245.921452054795
AZPS,10,3281.9099452054793,108.2806301369863,3173.629315068493
AZPS,11,3270.6919452054794,111.17035616438358,3159.5215890410964
AZPS,12,3312.851123287671,132.36635616438357,3180.4847671232883
AZPS,13,3437.676547945205,196.41093150684932,3241.2656164383566
AZPS,14,3638.1637260273974,253.58378082191783,3384.5799452054794
AZPS,15,3831.3687123287673,289.18969863013695,3542.1790136986297
AZPS,16,3868.8337260273975,244.72717808219178,3624.1065479452054
AZPS,17,3898.2793424657534,218.68243835616437,3679.5969041095896
AZPS,18,3967.912356164383,214.02030136986298,3753.8920547945204
AZPS,19,4080.727068493151,223.1732328767123,3857.553835616438
AZPS,20,4220.095863013698,243.1165479452055,3976.9793150684936
AZPS,21,4382.958438356164,262.2004657534247,4120.75797260274
AZPS,22,4572.777698630138,293.7060547945206,4279.071643835617
AZPS,23,4764.564438356165,359.72945205479454,4404.83498630137
BANC,0,2940.631808219178,202.9307397260274,2737.701068493151
BANC,1,3042.8991780821916,227.8909315068493,2815.0082465753426
BANC,2,3045.402876712329,213.94128767123289,2831.461589041096
BANC,3,2993.232109589041,185.96906849315062,2807.2630410958905
BANC,4,2888.3231780821916,165.35430136986304,2722.968876712329
BANC,5,2711.6210684931507,144.92457534246574,2566.696493150685
BANC,6,2489.4884383561644,123.75128767123287,2365.7371506849313
BANC,7,2279.592602739726,94.8217808219178,2184.7708219178085
BANC,8,2094.969369863014,75.69564383561644,2019.2737260273973
BANC,9,1944.803890410959,63.65517808219178,1881.1487123287673
BANC,10,1857.1255890410962,55.51120547945205,1801.6143835616438
BANC,11,1836.7819452054796,51.23698630136986,1785.5449589041098
BANC,12,1861.1194246575344,52.84095890410959,1808.2784657534244
BANC,13,1920.5013698630137,68.91435616438356,1851.5870136986302
BANC,14,2045.3914246575343,99.57920547945207,1945.8122191780822
BANC,15,2197.1674246575344,144.8132602739726,2052.3541643835615
BANC,16,2306.6036986301374,144.97156164383566,2161.6321369863017
BANC,17,2373.0082465753426,135.40772602739725,2237.600520547945
BANC,18,2437.772794520548,126.11200000000001,2311.660794520548
BANC,19,2519.986602739726,128.78175342465752,2391.2048493150687
BANC,20,2602.8605205479453,134.8323287671233,2468.0281917808215
