BA,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
AVA,0,2150.81901369863,177.0962465753425,1973.722767123288
AVA,1,2203.4026301369863,197.44389041095891,2005.9587397260275
AVA,2,2208.769287671233,189.21709589041097,2019.552191780822
AVA,3,2189.061835616438,170.78057534246577,2018.2812602739727
AVA,4,2135.635726027397,158.82,1976.8157260273972
AVA,5,2014.3684657534247,146.5171780821918,1867.8512876712327
AVA,6,1887.8234520547946,133.58282191780822,1754.2406301369863
AVA,7,1758.429315068493,113.34391780821917,1645.0853972602738
AVA,8,1645.3387397260274,99.7934794520548,1545.5452602739726
AVA,9,1572.194904109589,91.58950684931506,1480.605397260274
AVA,10,1533.4766027397263,85.8471506849315,1447.6294520547945
AVA,11,1527.7471506849315,82.2434794520548,1445.5036712328765
AVA,12,1566.354520547945,81.95424657534248,1484.4002739726027
AVA,13,1662.9683561643835,90.85567123287672,1572.112684931507
AVA,14,1787.5029589041094,107.51273972602742,1679.990219178082
AVA,15,1922.3362465753423,137.41454794520547,1784.9216986301371
AVA,16,2004.5917260273973,136.04895890410958,1868.5427671232876
AVA,17,2041.302794520548,128.7255890410959,1912.5772054794522
AVA,18,2054.470575342466,120.45849315068494,1934.012082191781
AVA,19,2068.0833424657535,121.2961095890411,1946.7872328767126
AVA,20,2079.833589041096,125.75109589041094,1954.082493150685
AVA,21,2081.9470410958907,125.19413698630137,1956.7529041095893
AVA,22,2089.567808219178,135.7128493150685,1953.8549589041097
AVA,23,2101.968082191781,153.31265753424657,1948.6554246575342
AZPS,0,6249.90002739726,1448.8365205479452,4801.063506849315
AZPS,1,6467.545917808218,1562.5037260273975,4905.042191780822
AZPS,2,6268.771835616438,1364.3337534246573,4904.43808219178
AZPS,3,5998.477780821918,1209.7656712328767,4788.712109589042
AZPS,4,5735.911452054795,1100.5125753424659,4635.398876712328
AZPS,5,5331.2936712328765,977.9863287671233,4353.307342465753
AZPS,6,4944.594493150685,884.8096712328768,4059.784821917808
AZPS,7,4530.192328767123,748.4247671232877,3781.7675616438355
AZPS,8,4201.1262739726035,674.2141917808219,3526.9120821917813
AZPS,9,3970.118493150685,629.6444931506849,3340.474
AZPS,10,3851.1167123287673,599.3808767123288,3251.7358356164377
AZPS,11,3826.236246575342,600.4661369863014,3225.7701095890407
AZPS,12,3881.6872602739727,643.8087123287671,3237.8785479452054
AZPS,13,4091.700712328767,797.7965753424658,3293.904136986301
AZPS,14,4376.058767123288,939.2757534246576,3436.7830136986304
AZPS,15,4631.222191780822,1029.9155616438356,3601.3066301369868
AZPS,16,4587.717369863013,888.3306027397261,3699.3867671232874
AZPS,17,4590.199260273973,807.5255342465755,3782.6737260273976
AZPS,18,4680.037315068493,783.4669863013697,3896.570328767123
AZPS,19,4847.077479452054,810.2185753424658,4036.858904109589
AZPS,20,5054.586876712328,868.780794520548,4185.806082191781
AZPS,21,5269.984849315069,920.3570684931507,4349.627780821918
AZPS,22,5530.580082191781,1014.1101643835617,4516.469917808218
AZPS,23,5853.170958904109,1209.5767671232877,4643.594191780822
BANC,0,3600.564410958905,536.3377808219177,3064.2266301369864
