BA,Month,Hour,Transportation_Load_Penetration_Percentage
AVA,1,1,7.5
AVA,1,1,7.99
AVA,1,1,7.55
AVA,1,1,6.75
AVA,1,1,6.36
AVA,1,1,6.2
AVA,1,1,6.26
AVA,1,1,5.56
AVA,1,1,5.06
AVA,1,1,4.83
AVA,1,1,4.6
AVA,1,1,4.38
AVA,1,1,4.29
AVA,1,1,4.67
AVA,1,1,4.86
AVA,1,1,6.04
AVA,1,1,5.8
AVA,1,1,5.46
AVA,1,1,5.12
AVA,1,1,5.21
AVA,1,1,5.39
AVA,1,1,5.55
AVA,1,1,6.29
AVA,1,1,7.59
AVA,2,2,8.5
AVA,2,2,8.6
AVA,2,2,7.82
AVA,2,2,6.81
AVA,2,2,6.42
AVA,2,2,6.24
AVA,2,2,5.92
AVA,2,2,5.42
AVA,2,2,5.05
AVA,2,2,4.82
AVA,2,2,4.61
AVA,2,2,4.38
AVA,2,2,4.29
AVA,2,2,4.7
AVA,2,2,5.27
AVA,2,2,6.04
AVA,2,2,5.63
AVA,2,2,5.52
AVA,2,2,5.12
AVA,2,2,5.34
AVA,2,2,5.75
AVA,2,2,5.88
AVA,2,2,6.45
AVA,2,2,6.69
AVA,3,3,7.67
AVA,3,3,8.38
AVA,3,3,7.84
AVA,3,3,6.99
AVA,3,3,6.84
AVA,3,3,6.47
AVA,3,3,6.08
AVA,3,3,5.52
AVA,3,3,5.11
AVA,3,3,4.84
AVA,3,3,4.62
AVA,3,3,4.36
AVA,3,3,4.25
AVA,3,3,4.65
AVA,3,3,5.07
AVA,3,3,5.64
AVA,3,3,5.71
AVA,3,3,5.61
AVA,3,3,5.24
AVA,3,3,5.45
AVA,3,3,5.9
AVA,3,3,5.99
AVA,3,3,6.52
AVA,3,3,6.84
AVA,4,4,8.97
AVA,4,4,9.96
AVA,4,4,9.31
AVA,4,4,8.34
AVA,4,4,7.93
AVA,4,4,7.72
AVA,4,4,7.4
AVA,4,4,6.85
AVA,4,4,6.52
AVA,4,4,6.06
AVA,4,4,5.84
AVA,4,4,5.43
AVA,4,4,4.9
AVA,4,4,5.17
AVA,4,4,5.04
AVA,4,4,6.12
AVA,4,4,6.17
AVA,4,4,6.02
AVA,4,4,5.68
AVA,4,4,5.77
AVA,4,4,6.06
AVA,4,4,6.22
AVA,4,4,7.13
AVA,4,4,7.99
AVA,5,5,8.31
AVA,5,5,8.93
AVA,5,5,8.11
AVA,5,5,7.94
AVA,5,5,8.12
AVA,5,5,7.54
AVA,5,5,7.43
AVA,5,5,6.66
AVA,5,5,6.39
AVA,5,5,6.2
AVA,5,5,6.08
AVA,5,5,5.77
AVA,5,5,5.69
AVA,5,5,5.45
AVA,5,5,6.24
AVA,5,5,7.46
AVA,5,5,6.98
AVA,5,5,6.49
AVA,5,5,6.03
AVA,5,5,5.92
AVA,5,5,5.6
AVA,5,5,5.67
AVA,5,5,6.1
AVA,5,5,6.9
AVA,6,6,7.44
AVA,6,6,8.2
AVA,6,6,8.17
AVA,6,6,7.34
AVA,6,6,6.93
AVA,6,6,6.88
AVA,6,6,6.85
AVA,6,6,6.41
AVA,6,6,6.11
AVA,6,6,5.93
AVA,6,6,5.77
AVA,6,6,5.62
AVA,6,6,5.55
AVA,6,6,5.57
AVA,6,6,6.36
AVA,6,6,7.6
AVA,6,6,7.0
AVA,6,6,5.96
AVA,6,6,5.44
AVA,6,6,5.32
AVA,6,6,5.37
AVA,6,6,5.13
AVA,6,6,5.66
AVA,6,6,6.87
AVA,7,7,6.26
AVA,7,7,6.84
AVA,7,7,6.96
AVA,7,7,6.75
AVA,7,7,6.15
AVA,7,7,6.3
AVA,7,7,6.13
AVA,7,7,5.76
AVA,7,7,5.61
AVA,7,7,5.47
AVA,7,7,5.37
AVA,7,7,5.26
AVA,7,7,5.44
AVA,7,7,5.89
AVA,7,7,5.9
AVA,7,7,6.83
AVA,7,7,6.38
AVA,7,7,5.5
AVA,7,7,4.95
AVA,7,7,4.94
AVA,7,7,6.04
AVA,7,7,5.38
AVA,7,7,5.15
AVA,7,7,5.7
AVA,8,8,6.58
AVA,8,8,7.26
AVA,8,8,7.94
AVA,8,8,6.91
AVA,8,8,6.55
AVA,8,8,6.77
AVA,8,8,7.14
AVA,8,8,6.19
AVA,8,8,6.0
AVA,8,8,5.97
AVA,8,8,5.65
AVA,8,8,5.44
AVA,8,8,5.46
AVA,8,8,5.63
AVA,8,8,6.28
AVA,8,8,7.65
AVA,8,8,6.82
AVA,8,8,5.66
AVA,8,8,5.02
AVA,8,8,4.8
AVA,8,8,4.68
AVA,8,8,4.52
AVA,8,8,4.98
AVA,8,8,5.65
AVA,9,9,6.67
AVA,9,9,8.44
AVA,9,9,8.01
AVA,9,9,6.74
AVA,9,9,6.49
AVA,9,9,6.45
