BA,Month,Hour,Transportation_Load_Penetration_Percentage
AVA,1,1,2.47
AVA,1,1,2.63
AVA,1,1,2.37
AVA,1,1,2.02
AVA,1,1,1.82
AVA,1,1,1.66
AVA,1,1,1.59
AVA,1,1,1.27
AVA,1,1,1.03
AVA,1,1,0.89
AVA,1,1,0.78
AVA,1,1,0.7
AVA,1,1,0.71
AVA,1,1,0.95
AVA,1,1,1.17
AVA,1,1,1.74
AVA,1,1,1.73
AVA,1,1,1.61
AVA,1,1,1.48
AVA,1,1,1.54
AVA,1,1,1.6
AVA,1,1,1.66
AVA,1,1,1.98
AVA,1,1,2.49
AVA,2,2,2.83
AVA,2,2,2.84
AVA,2,2,2.5
AVA,2,2,2.07
AVA,2,2,1.87
AVA,2,2,1.72
AVA,2,2,1.51
AVA,2,2,1.23
AVA,2,2,1.02
AVA,2,2,0.88
AVA,2,2,0.77
AVA,2,2,0.68
AVA,2,2,0.7
AVA,2,2,0.94
AVA,2,2,1.28
AVA,2,2,1.71
AVA,2,2,1.67
AVA,2,2,1.63
AVA,2,2,1.49
AVA,2,2,1.6
AVA,2,2,1.74
AVA,2,2,1.79
AVA,2,2,2.0
AVA,2,2,2.1
AVA,3,3,2.75
AVA,3,3,2.98
AVA,3,3,2.7
AVA,3,3,2.29
AVA,3,3,2.16
AVA,3,3,1.93
AVA,3,3,1.68
AVA,3,3,1.35
AVA,3,3,1.1
AVA,3,3,0.93
AVA,3,3,0.81
AVA,3,3,0.71
AVA,3,3,0.73
AVA,3,3,1.0
AVA,3,3,1.32
AVA,3,3,1.69
AVA,3,3,1.8
AVA,3,3,1.77
AVA,3,3,1.63
AVA,3,3,1.75
AVA,3,3,1.94
AVA,3,3,2.01
AVA,3,3,2.22
AVA,3,3,2.35
AVA,4,4,3.15
AVA,4,4,3.59
AVA,4,4,3.29
AVA,4,4,2.81
AVA,4,4,2.56
AVA,4,4,2.36
AVA,4,4,2.1
AVA,4,4,1.77
AVA,4,4,1.55
AVA,4,4,1.29
AVA,4,4,1.17
AVA,4,4,1.02
AVA,4,4,0.9
AVA,4,4,1.18
AVA,4,4,1.35
AVA,4,4,1.94
AVA,4,4,2.0
AVA,4,4,1.91
AVA,4,4,1.75
AVA,4,4,1.81
AVA,4,4,1.92
AVA,4,4,1.97
AVA,4,4,2.37
AVA,4,4,2.74
AVA,5,5,2.84
AVA,5,5,3.09
AVA,5,5,2.71
AVA,5,5,2.57
AVA,5,5,2.59
AVA,5,5,2.21
AVA,5,5,2.02
AVA,5,5,1.59
AVA,5,5,1.35
AVA,5,5,1.19
AVA,5,5,1.09
AVA,5,5,0.96
AVA,5,5,1.02
AVA,5,5,1.15
AVA,5,5,1.68
AVA,5,5,2.32
AVA,5,5,2.16
AVA,5,5,1.99
AVA,5,5,1.83
AVA,5,5,1.83
AVA,5,5,1.69
AVA,5,5,1.72
AVA,5,5,1.92
AVA,5,5,2.27
AVA,6,6,2.52
AVA,6,6,2.83
AVA,6,6,2.79
AVA,6,6,2.4
AVA,6,6,2.18
AVA,6,6,2.04
AVA,6,6,1.9
AVA,6,6,1.58
AVA,6,6,1.34
AVA,6,6,1.18
AVA,6,6,1.06
AVA,6,6,0.98
AVA,6,6,1.02
AVA,6,6,1.2
AVA,6,6,1.76
AVA,6,6,2.43
AVA,6,6,2.21
AVA,6,6,1.79
AVA,6,6,1.62
AVA,6,6,1.61
AVA,6,6,1.64
AVA,6,6,1.54
AVA,6,6,1.79
AVA,6,6,2.32
AVA,7,7,2.06
AVA,7,7,2.31
AVA,7,7,2.34
AVA,7,7,2.19
AVA,7,7,1.88
AVA,7,7,1.82
AVA,7,7,1.63
AVA,7,7,1.37
AVA,7,7,1.22
AVA,7,7,1.09
AVA,7,7,0.99
AVA,7,7,0.94
AVA,7,7,1.06
AVA,7,7,1.41
AVA,7,7,1.67
AVA,7,7,2.2
AVA,7,7,2.06
AVA,7,7,1.71
AVA,7,7,1.49
AVA,7,7,1.51
AVA,7,7,1.92
AVA,7,7,1.68
AVA,7,7,1.62
AVA,7,7,1.83
AVA,8,8,2.32
AVA,8,8,2.6
AVA,8,8,2.84
AVA,8,8,2.29
AVA,8,8,2.08
AVA,8,8,2.07
AVA,8,8,2.11
AVA,8,8,1.59
AVA,8,8,1.39
AVA,8,8,1.3
AVA,8,8,1.12
AVA,8,8,1.01
AVA,8,8,1.07
AVA,8,8,1.27
AVA,8,8,1.77
AVA,8,8,2.5
AVA,8,8,2.2
AVA,8,8,1.76
AVA,8,8,1.54
AVA,8,8,1.5
AVA,8,8,1.48
AVA,8,8,1.42
AVA,8,8,1.63
AVA,8,8,1.93
AVA,9,9,2.78
AVA,9,9,3.6
AVA,9,9,3.2
AVA,9,9,2.46
AVA,9,9,2.27
AVA,9,9,2.11
AVA,9,9,1.91
AVA,9,9,1.54
AVA,9,9,1.3
AVA,9,9,1.14
AVA,9,9,1.01
AVA,9,9,0.93
AVA,9,9,0.96
AVA,9,9,1.22
AVA,9,9,1.77
AVA,9,9,2.36
AVA,9,9,2.05
AVA,9,9,1.92
AVA,9,9,1.72
AVA,9,9,1.71
AVA,9,9,1.73
AVA,9,9,1.72
AVA,9,9,1.96
AVA,9,9,2.49
AVA,10,10,2.97
AVA,10,10,3.35
AVA,10,10,2.98
AVA,10,10,2.73
AVA,10,10,2.32
AVA,10,10,2.12
AVA,10,10,1.91
AVA,10,10,1.54
AVA,10,10,1.29
AVA,10,10,1.13
AVA,10,10,1.01
AVA,10,10,1.04
AVA,10,10,0.89
AVA,10,10,1.12
AVA,10,10,1.6
AVA,10,10,2.22
AVA,10,10,2.01
AVA,10,10,1.86
AVA,10,10,1.72
AVA,10,10,1.73
AVA,10,10,1.78
AVA,10,10,1.77
AVA,10,10,2.02
AVA,10,10,2.32
AVA,11,11,2.53
AVA,11,11,2.91
AVA,11,11,2.49
AVA,11,11,2.17
AVA,11,11,1.98
AVA,11,11,1.81
AVA,11,11,1.59
AVA,11,11,1.33
AVA,11,11,1.09
AVA,11,11,0.94
AVA,11,11,0.82
AVA,11,11,0.76
AVA,11,11,0.78
AVA,11,11,0.9
AVA,11,11,1.17
AVA,11,11,1.68
AVA,11,11,1.76
AVA,11,11,1.69
AVA,11,11,1.63
AVA,11,11,1.67
AVA,11,11,1.69
AVA,11,11,1.76
AVA,11,11,1.9
AVA,11,11,2.18
AVA,12,12,2.6
AVA,12,12,2.5
AVA,12,12,2.3
AVA,12,12,2.09
AVA,12,12,1.91
AVA,12,12,1.72
AVA,12,12,1.5
AVA,12,12,1.21
AVA,12,12,1.0
AVA,12,12,0.86
AVA,12,12,0.76
AVA,12,12,0.7
AVA,12,12,0.7
AVA,12,12,0.78
AVA,12,12,1.18
AVA,12,12,1.72
AVA,12,12,1.75
AVA,12,12,1.63
AVA,12,12,1.51
AVA,12,12,1.58
AVA,12,12,1.53
AVA,12,12,1.57
AVA,12,12,1.73
AVA,12,12,1.97
AZPS,1,1,12.33
AZPS,1,1,11.84
AZPS,1,1,9.68
AZPS,1,1,8.04
AZPS,1,1,7.1
AZPS,1,1,6.33
AZPS,1,1,6.7
AZPS,1,1,5.33
AZPS,1,1,4.27
AZPS,1,1,3.82
AZPS,1,1,3.43
AZPS,1,1,3.36
AZPS,1,1,4.16
AZPS,1,1,6.27
AZPS,1,1,6.57
AZPS,1,1,7.26
AZPS,1,1,6.39
AZPS,1,1,6.32
AZPS,1,1,6.44
AZPS,1,1,6.94
AZPS,1,1,7.65
AZPS,1,1,8.66
AZPS,1,1,10.69
AZPS,1,1,14.56
AZPS,2,2,15.54
AZPS,2,2,13.6
AZPS,2,2,10.52
AZPS,2,2,8.33
AZPS,2,2,7.49
AZPS,2,2,6.72
