BA,Month,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
AVA,1,0,2135.2590322580645,48.65870967741935,2086.6003225806453
AVA,1,1,2226.534516129033,53.967096774193536,2172.567419354839
AVA,1,2,2286.6951612903226,49.84774193548388,2236.847419354838
AVA,1,3,2319.9125806451616,43.096774193548384,2276.8158064516133
AVA,1,4,2289.2883870967744,38.15870967741935,2251.1296774193556
AVA,1,5,2200.045161290322,33.4925806451613,2166.5525806451615
AVA,1,6,2104.886451612903,30.986774193548392,2073.899677419355
AVA,1,7,2002.3722580645162,23.648709677419355,1978.7235483870973
AVA,1,8,1903.8209677419354,18.222258064516133,1885.598709677419
AVA,1,9,1824.890322580645,15.205161290322582,1809.6851612903226
AVA,1,10,1780.310322580645,13.005161290322581,1767.3051612903225
AVA,1,11,1793.5767741935485,11.733548387096773,1781.843225806452
AVA,1,12,1853.6638709677418,12.37774193548387,1841.2861290322583
AVA,1,13,1932.938387096774,17.240967741935485,1915.6974193548385
AVA,1,14,2012.1041935483875,21.579677419354837,1990.5245161290325
AVA,1,15,2095.469677419355,33.48516129032259,2061.9845161290323
AVA,1,16,2207.2874193548387,34.95258064516129,2172.3348387096776
AVA,1,17,2279.1641935483876,33.547096774193555,2245.617096774194
AVA,1,18,2262.9232258064517,30.557096774193543,2232.3661290322584
AVA,1,19,2223.003548387097,31.292580645161287,2191.7109677419353
AVA,1,20,2183.163225806452,31.943225806451615,2151.22
AVA,1,21,2145.7329032258062,32.742258064516136,2112.99064516129
AVA,1,22,2119.423225806452,38.75516129032259,2080.668064516129
AVA,1,23,2120.0654838709684,49.09741935483871,2070.9680645161293
AVA,2,0,2031.5853571428568,53.52499999999999,1978.0603571428576
AVA,2,1,2119.382142857143,55.77857142857143,2063.6035714285713
AVA,2,2,2179.906071428571,50.27321428571428,2129.632857142857
AVA,2,3,2213.2225,42.02499999999999,2171.1974999999998
AVA,2,4,2189.54,37.59464285714286,2151.945357142857
AVA,2,5,2105.2921428571426,33.28964285714286,2072.0025
AVA,2,6,2009.5303571428574,28.047857142857143,1981.4825
AVA,2,7,1912.6214285714286,21.67999999999999,1890.9414285714283
AVA,2,8,1823.9582142857146,17.35464285714286,1806.6035714285717
AVA,2,9,1760.3353571428572,14.408928571428573,1745.9264285714287
AVA,2,10,1730.007857142857,12.403571428571425,1717.6042857142854
AVA,2,11,1742.9771428571428,11.205357142857142,1731.771785714286
AVA,2,12,1804.2932142857142,11.799642857142857,1792.4935714285714
AVA,2,13,1884.1710714285714,16.562857142857144,1867.6082142857142
AVA,2,14,1965.9385714285715,23.435000000000002,1942.5035714285714
AVA,2,15,2057.664642857143,32.45642857142857,2025.2082142857146
AVA,2,16,2193.871428571428,33.46392857142858,2160.4075000000003
AVA,2,17,2198.5003571428574,32.89071428571428,2165.6096428571427
AVA,2,18,2157.610357142857,29.27571428571428,2128.334642857143
AVA,2,19,2125.3282142857147,31.09035714285714,2094.237857142857
AVA,2,20,2098.4389285714287,33.604642857142856,2064.8342857142857
AVA,2,21,2072.337857142857,34.296428571428564,2038.0414285714285
AVA,2,22,2054.8307142857143,37.94464285714286,2016.8860714285713
AVA,2,23,2040.8260714285714,39.31428571428571,2001.5117857142855
AVA,3,0,1702.373548387097,43.117741935483885,1659.255806451613
AVA,3,1,1746.2616129032258,47.91838709677421,1698.3432258064518
AVA,3,2,1814.5770967741935,45.05935483870969,1769.5177419354839
AVA,3,3,1846.7658064516136,38.88225806451613,1807.8835483870967
AVA,3,4,1833.0880645161292,36.553225806451614,1796.5348387096774
AVA,3,5,1748.6787096774192,31.055806451612902,1717.6229032258063
AVA,3,6,1663.558064516129,25.7125806451613,1637.8454838709679
AVA,3,7,1578.0616129032258,19.613548387096774,1558.448064516129
AVA,3,8,1503.7767741935484,15.307741935483872,1488.4690322580648
AVA,3,9,1455.5909677419354,12.594516129032252,1442.9964516129035
AVA,3,10,1436.6558064516125,10.839032258064522,1425.8167741935486
AVA,3,11,1452.9648387096775,9.657419354838712,1443.3074193548389
AVA,3,12,1515.1012903225806,10.353548387096772,1504.747741935484
AVA,3,13,1598.4629032258065,15.06806451612903,1583.3948387096773
AVA,3,14,1694.211935483871,20.65677419354839,1673.555161290323
AVA,3,15,1860.67,28.77741935483871,1831.8925806451612
AVA,3,16,1896.879677419355,31.3167741935484,1865.5629032258068
AVA,3,17,1874.397419354839,30.480000000000008,1843.9174193548386
AVA,3,18,1841.778064516129,27.45064516129032,1814.3274193548389
AVA,3,19,1815.1932258064514,29.219677419354834,1785.9735483870966
AVA,3,20,1790.528064516129,32.06096774193549,1758.4670967741936
AVA,3,21,1762.2912903225808,32.675483870967746,1729.6158064516128
AVA,3,22,1739.9906451612906,35.67290322580645,1704.317741935484
AVA,3,23,1723.9270967741932,37.21645161290323,1686.7106451612904
AVA,4,0,1506.4516666666668,44.10166666666665,1462.35
AVA,4,1,1511.2963333333335,50.55166666666667,1460.7446666666665
AVA,4,2,1517.7923333333333,46.34933333333333,1471.4430000000002
AVA,4,3,1546.0650000000003,40.362,1505.7030000000002
AVA,4,4,1540.6186666666667,36.66999999999999,1503.9486666666667
AVA,4,5,1455.2640000000001,31.922000000000004,1423.342
AVA,4,6,1368.0369999999998,26.791,1341.2460000000003
AVA,4,7,1283.5659999999998,21.31166666666666,1262.2543333333335
AVA,4,8,1204.7986666666666,17.589,1187.2096666666666
AVA,4,9,1162.2963333333332,14.154666666666664,1148.1416666666667
AVA,4,10,1149.1156666666668,12.735666666666667,1136.38
AVA,4,11,1159.9953333333333,11.207,1148.7883333333334
AVA,4,12,1208.3746666666666,10.22166666666667,1198.153
AVA,4,13,1294.1753333333334,14.381666666666666,1279.793666666667
AVA,4,14,1461.6643333333334,18.152333333333335,1443.5119999999997
AVA,4,15,1529.4603333333332,27.199999999999996,1502.260333333333
AVA,4,16,1541.7486666666666,28.194333333333336,1513.5543333333333
AVA,4,17,1537.104,26.92433333333333,1510.179666666667
AVA,4,18,1533.1320000000003,24.610333333333333,1508.5216666666665
AVA,4,19,1533.0420000000004,25.47433333333333,1507.5676666666668
AVA,4,20,1531.468,27.04833333333334,1504.4196666666671
AVA,4,21,1516.7959999999998,27.553333333333335,1489.2426666666665
AVA,4,22,1500.1923333333334,32.925666666666665,1467.2666666666664
AVA,4,23,1490.669333333333,37.852999999999994,1452.8163333333332
AVA,5,0,1553.0364516129034,40.86838709677419,1512.168064516129
AVA,5,1,1570.9116129032261,45.01129032258064,1525.9003225806453
AVA,5,2,1546.4029032258063,38.50741935483872,1507.8954838709678
AVA,5,3,1540.0996774193547,36.638387096774174,1503.461290322581
AVA,5,4,1504.8174193548389,36.30806451612902,1468.5093548387101
AVA,5,5,1400.806451612903,28.64967741935484,1372.156774193548
AVA,5,6,1298.103870967742,24.40677419354839,1273.6970967741938
AVA,5,7,1196.981935483871,17.63290322580645,1179.3490322580642
AVA,5,8,1108.9551612903226,13.930645161290323,1095.024516129032
AVA,5,9,1053.3822580645162,11.706451612903226,1041.6758064516127
AVA,5,10,1025.4629032258065,10.517741935483873,1014.9451612903225
AVA,5,11,1020.2025806451612,9.28774193548387,1010.9148387096773
AVA,5,12,1046.854193548387,10.033870967741935,1036.820322580645
AVA,5,13,1165.7793548387097,12.51806451612903,1153.2612903225806
AVA,5,14,1273.1061290322582,19.91483870967742,1253.1912903225807
AVA,5,15,1351.3487096774193,29.056129032258063,1322.2925806451613
AVA,5,16,1397.9603225806452,27.72290322580646,1370.2374193548387
AVA,5,17,1435.5061290322578,26.211612903225813,1409.2945161290322
AVA,5,18,1471.7109677419355,24.759677419354837,1446.9512903225802
AVA,5,19,1501.0448387096776,25.247741935483877,1475.7970967741935
AVA,5,20,1519.4377419354842,23.537419354838708,1495.9003225806453
AVA,5,21,1530.9506451612906,24.136451612903226,1506.8141935483873
AVA,5,22,1534.0709677419354,27.051935483870974,1507.0190322580647
AVA,5,23,1529.6032258064517,31.874193548387094,1497.7290322580648
AVA,6,0,1698.7766666666669,39.71033333333334,1659.0663333333332
AVA,6,1,1705.783,44.779666666666664,1661.0033333333336
AVA,6,2,1683.3886666666667,43.70533333333333,1639.6833333333336
AVA,6,3,1625.6713333333332,36.17466666666666,1589.4966666666664
AVA,6,4,1570.8476666666668,31.576333333333327,1539.2713333333336
AVA,6,5,1445.1749999999997,27.308666666666664,1417.8663333333336
AVA,6,6,1327.6233333333332,23.402,1304.2213333333332
AVA,6,7,1214.9973333333332,17.872666666666667,1197.1246666666666
AVA,6,8,1115.0309999999997,13.984333333333334,1101.0466666666666
AVA,6,9,1052.6966666666665,11.650666666666663,1041.0459999999998
AVA,6,10,1014.9096666666666,10.138333333333334,1004.7713333333334
AVA,6,11,1000.8270000000001,9.315666666666667,991.5113333333334
AVA,6,12,1019.8993333333332,9.869333333333335,1010.03
AVA,6,13,1147.4323333333332,12.97133333333333,1134.461
AVA,6,14,1242.0979999999997,20.35166666666667,1221.7463333333335
AVA,6,15,1334.717666666667,30.128999999999987,1304.5886666666668
AVA,6,16,1409.6796666666664,28.757999999999996,1380.9216666666666
AVA,6,17,1472.743,24.127000000000002,1448.6160000000002
AVA,6,18,1524.3866666666665,22.584666666666656,1501.8020000000001
AVA,6,19,1564.7343333333338,23.033333333333335,1541.7010000000002
AVA,6,20,1596.371333333333,24.02066666666667,1572.3506666666665
AVA,6,21,1621.196333333333,22.86700000000001,1598.3293333333327
AVA,6,22,1644.3223333333333,26.938666666666663,1617.3836666666668
AVA,6,23,1645.9306666666669,35.34466666666666,1610.5859999999998
AVA,7,0,2168.0693548387094,41.23387096774195,2126.8354838709674
AVA,7,1,2170.8512903225806,46.33161290322579,2124.519677419355
AVA,7,2,2124.0709677419354,45.92516129032259,2078.145806451613
AVA,7,3,2013.237096774194,40.861612903225804,1972.3754838709679
AVA,7,4,1915.6200000000001,33.12193548387096,1882.498064516129
AVA,7,5,1777.708064516129,29.879677419354838,1747.8283870967741
AVA,7,6,1623.1312903225805,24.38677419354839,1598.744516129032
AVA,7,7,1468.3709677419358,18.684516129032254,1449.6864516129035
AVA,7,8,1340.7809677419352,15.197419354838706,1325.583548387097
AVA,7,9,1252.17935483871,12.730967741935489,1239.448387096774
AVA,7,10,1187.197419354839,11.070967741935483,1176.1264516129033
AVA,7,11,1146.1293548387098,10.158387096774193,1135.9709677419355
AVA,7,12,1132.1951612903226,11.303548387096775,1120.8916129032257
AVA,7,13,1217.8422580645163,16.200645161290325,1201.6416129032261
AVA,7,14,1336.850322580645,20.68290322580645,1316.1674193548386
AVA,7,15,1497.1680645161289,30.373548387096776,1466.7945161290322
AVA,7,16,1631.011612903226,30.95580645161291,1600.055806451613
AVA,7,17,1737.1774193548388,27.180000000000003,1709.997419354839
AVA,7,18,1823.8374193548386,24.808709677419365,1799.0287096774196
AVA,7,19,1892.3609677419354,26.23741935483871,1866.123548387097
AVA,7,20,1953.2925806451613,35.05677419354838,1918.2358064516127
AVA,7,21,1994.0148387096774,31.136774193548387,1962.8780645161294
AVA,7,22,2029.0019354838712,30.112903225806452,1998.8890322580644
AVA,7,23,2043.575161290322,34.35580645161291,2009.2193548387095
AVA,8,0,1888.4138709677416,40.55645161290323,1847.857419354839
AVA,8,1,1884.6412903225805,45.47451612903225,1839.1667741935485
AVA,8,2,1839.948064516129,48.83903225806451,1791.1090322580644
AVA,8,3,1772.6425806451612,37.64193548387097,1735.0006451612905
AVA,8,4,1702.790322580645,32.78032258064516,1670.01
AVA,8,5,1579.6619354838708,30.45967741935484,1549.2022580645162
AVA,8,6,1454.0358064516129,28.918064516129032,1425.1177419354842
AVA,8,7,1325.0316129032262,19.787096774193543,1305.2445161290327
AVA,8,8,1212.9083870967743,15.910645161290326,1196.9977419354839
AVA,8,9,1143.466129032258,14.072580645161288,1129.3935483870969
AVA,8,10,1098.125806451613,11.633548387096774,1086.4922580645161
AVA,8,11,1078.4387096774196,10.36451612903226,1068.0741935483873
