BA,Month,Hour,Total_Load_MWh,Transportation_Load_MWh,Non-Transportation_Load_MWh
AVA,1,0,4051.288064516129,519.7609677419355,3531.5270967741935
AVA,1,1,4202.48,559.8280645161291,3642.6519354838706
AVA,1,2,4279.216774193549,565.664193548387,3713.5525806451615
AVA,1,3,4312.702258064517,544.9070967741935,3767.7951612903225
AVA,1,4,4298.0893548387085,535.4332258064517,3762.656129032258
AVA,1,5,4139.437419354839,527.473870967742,3611.963548387097
AVA,1,6,3952.2219354838708,517.7896774193549,3434.4322580645153
AVA,1,7,3740.228064516129,486.1025806451615,3254.1254838709674
AVA,1,8,3546.3193548387094,460.36999999999983,3085.949354838709
AVA,1,9,3422.013548387097,447.66677419354846,2974.3467741935483
AVA,1,10,3355.320645161291,437.3432258064515,2917.977419354839
AVA,1,11,3347.7251612903224,426.9745161290322,2920.750645161291
AVA,1,12,3423.6877419354837,420.62612903225823,3003.061612903226
AVA,1,13,3550.7970967741926,425.40967741935475,3125.387419354839
AVA,1,14,3688.8870967741937,429.3112903225805,3259.575806451613
AVA,1,15,3864.881935483872,469.9067741935485,3394.9751612903224
AVA,1,16,4074.063548387097,472.168064516129,3601.895483870967
AVA,1,17,4172.288709677419,461.3654838709679,3710.923225806452
AVA,1,18,4132.47,443.0187096774193,3689.451290322581
AVA,1,19,4084.369354838709,440.6696774193549,3643.699677419355
AVA,1,20,4036.2935483870974,441.2367741935483,3595.056774193549
AVA,1,21,3990.970967741935,444.8158064516127,3546.1551612903227
AVA,1,22,3967.1151612903222,466.17935483870974,3500.935806451613
AVA,1,23,3984.6574193548386,505.8499999999999,3478.807419354839
AVA,2,0,3802.399285714286,523.6828571428572,3278.716428571429
AVA,2,1,3954.952857142857,558.8660714285716,3396.086785714286
AVA,2,2,4039.0178571428573,560.2410714285714,3478.7767857142853
AVA,2,3,4075.304642857143,535.9735714285714,3539.3310714285717
AVA,2,4,4061.3625,527.6078571428571,3533.7546428571427
AVA,2,5,3910.5664285714292,519.1825,3391.3839285714284
AVA,2,6,3740.8764285714283,502.26071428571424,3238.6157142857146
AVA,2,7,3554.4728571428564,472.97857142857146,3081.4942857142855
AVA,2,8,3387.3142857142857,450.5328571428572,2936.781428571429
AVA,2,9,3280.564642857143,438.30392857142857,2842.2607142857146
AVA,2,10,3227.8650000000007,428.32250000000005,2799.5425
AVA,2,11,3226.8639285714285,418.40250000000003,2808.461428571428
AVA,2,12,3312.1932142857145,412.22857142857146,2899.9646428571423
AVA,2,13,3452.4992857142856,417.60035714285715,3034.8989285714283
AVA,2,14,3606.6692857142857,429.23785714285714,3177.4314285714286
AVA,2,15,3806.6700000000005,463.9575,3342.7125
AVA,2,16,4034.1025000000004,464.2378571428572,3569.864642857142
AVA,2,17,4046.3321428571426,453.9442857142857,3592.387857142857
AVA,2,18,3981.4221428571427,432.4271428571429,3548.995
AVA,2,19,3920.1535714285715,431.89678571428567,3488.256785714286
AVA,2,20,3858.788571428572,437.03321428571434,3421.7553571428575
AVA,2,21,3801.1907142857135,438.4707142857142,3362.72
AVA,2,22,3772.362857142857,455.8607142857142,3316.502142857143
AVA,2,23,3758.576071428571,472.9035714285714,3285.6725000000006
AVA,3,0,3550.032903225807,471.04870967741937,3078.9841935483864
AVA,3,1,3628.218709677419,509.72870967741943,3118.4900000000002
AVA,3,2,3732.5441935483864,514.8374193548387,3217.7067741935484
AVA,3,3,3775.3354838709674,499.23451612903233,3276.100967741935
AVA,3,4,3768.5858064516133,496.65354838709675,3271.9322580645157
AVA,3,5,3604.260967741935,484.3054838709679,3119.9554838709673
AVA,3,6,3433.264838709677,467.63161290322586,2965.6332258064517
AVA,3,7,3268.538387096774,443.69032258064516,2824.8480645161285
AVA,3,8,3117.4877419354843,423.50999999999993,2693.9777419354837
AVA,3,9,3029.505483870967,412.10806451612905,2617.3974193548383
AVA,3,10,2985.6832258064514,403.11419354838705,2582.5690322580645
AVA,3,11,3001.2870967741937,394.34290322580654,2606.944193548387
AVA,3,12,3103.5261290322583,389.53677419354835,2713.98935483871
AVA,3,13,3266.499999999999,395.30258064516136,2871.1974193548385
AVA,3,14,3460.528387096774,406.4112903225807,3054.1170967741937
AVA,3,15,3791.884516129032,440.2990322580646,3351.5854838709665
AVA,3,16,3855.5406451612903,441.4538709677419,3414.0867741935485
AVA,3,17,3812.797096774194,428.4538709677419,3384.3432258064513
AVA,3,18,3743.185483870968,406.4348387096775,3336.750645161291
AVA,3,19,3695.969677419355,402.0067741935483,3293.9629032258067
AVA,3,20,3660.4029032258068,411.2606451612903,3249.142258064516
AVA,3,21,3605.3300000000004,410.5451612903226,3194.784838709678
AVA,3,22,3580.6651612903224,427.9422580645162,3152.7229032258065
AVA,3,23,3563.5848387096767,443.95064516129025,3119.6341935483874
AVA,4,0,3379.115999999999,483.6333333333333,2895.4826666666663
AVA,4,1,3433.4320000000002,525.163,2908.2690000000002
AVA,4,2,3459.7200000000003,527.8606666666668,2931.8593333333333
AVA,4,3,3507.9309999999996,511.4480000000001,2996.4830000000006
AVA,4,4,3491.391666666667,504.27433333333335,2987.1173333333336
AVA,4,5,3327.7836666666667,494.15366666666665,2833.6299999999997
AVA,4,6,3149.422,477.41933333333344,2672.0026666666668
AVA,4,7,2963.9436666666666,450.5816666666666,2513.362
AVA,4,8,2805.8830000000003,430.99466666666666,2374.888333333333
AVA,4,9,2714.1169999999997,416.7566666666665,2297.360333333333
AVA,4,10,2677.790333333334,408.2063333333334,2269.5840000000003
AVA,4,11,2691.031666666667,397.9929999999999,2293.0386666666664
AVA,4,12,2775.512666666667,388.26100000000014,2387.2516666666666
AVA,4,13,2939.493333333333,392.25,2547.2433333333333
AVA,4,14,3244.4823333333334,398.1336666666667,2846.3486666666663
AVA,4,15,3412.4846666666663,433.8456666666668,2978.639
AVA,4,16,3451.763666666666,434.0573333333335,3017.7063333333335
AVA,4,17,3435.122666666667,421.7406666666666,3013.382
AVA,4,18,3409.2736666666665,403.451,3005.822666666667
AVA,4,19,3405.1140000000005,398.83633333333336,3006.2776666666664
AVA,4,20,3399.131333333333,404.8410000000001,2994.290333333334
AVA,4,21,3367.351,405.89933333333335,2961.451666666667
AVA,4,22,3346.415,427.21433333333323,2919.200666666667
AVA,4,23,3336.710666666666,451.54366666666675,2885.167
AVA,5,0,3227.4570967741943,464.59774193548384,2762.8593548387103
AVA,5,1,3287.9570967741934,497.2432258064516,2790.713870967742
AVA,5,2,3287.28064516129,492.79677419354823,2794.4838709677424
AVA,5,3,3322.5799999999995,489.08806451612907,2833.4919354838707
AVA,5,4,3285.849677419355,491.1619354838709,2794.6877419354837
AVA,5,5,3093.3645161290324,473.5864516129032,2619.7780645161292
AVA,5,6,2905.2309677419357,459.82580645161283,2445.405161290323
AVA,5,7,2708.382580645161,430.01451612903224,2278.368064516129
AVA,5,8,2536.9016129032257,410.73096774193556,2126.1706451612904
AVA,5,9,2433.5980645161294,399.7829032258065,2033.8151612903227
AVA,5,10,2386.6461290322586,392.02580645161294,1994.620322580645
AVA,5,11,2386.091935483871,382.7816129032259,2003.310322580645
AVA,5,12,2456.1312903225808,377.96677419354836,2078.164516129032
AVA,5,13,2716.667741935484,378.5648387096774,2338.102903225806
AVA,5,14,2921.7280645161286,394.1535483870968,2527.574516129033
AVA,5,15,3061.72,429.5912903225806,2632.128709677419
AVA,5,16,3113.5448387096776,423.29999999999995,2690.244838709677
AVA,5,17,3138.2274193548383,410.0067741935485,2728.2206451612906
AVA,5,18,3160.936774193548,392.8154838709676,2768.1212903225805
AVA,5,19,3183.141935483871,387.3064516129032,2795.835483870968
AVA,5,20,3194.427419354838,385.7251612903225,2808.7022580645157
AVA,5,21,3191.46064516129,387.1477419354838,2804.312903225806
AVA,5,22,3187.140967741935,402.81516129032264,2784.3258064516126
AVA,5,23,3190.498064516129,426.25419354838715,2764.2438709677417
AVA,6,0,3524.944333333333,449.22100000000006,3075.7233333333334
AVA,6,1,3576.5340000000006,485.1759999999998,3091.358
AVA,6,2,3591.0826666666662,494.6209999999999,3096.461666666667
AVA,6,3,3538.1859999999997,476.54133333333334,3061.6446666666666
AVA,6,4,3459.0500000000006,467.3113333333332,2991.7386666666657
AVA,6,5,3234.0933333333332,458.8373333333332,2775.2560000000003
AVA,6,6,2995.6136666666666,445.437,2550.1766666666663
AVA,6,7,2762.635666666667,419.0173333333334,2343.6183333333333
AVA,6,8,2565.9889999999996,399.63100000000014,2166.3580000000006
AVA,6,9,2441.9016666666666,388.8096666666667,2053.0919999999996
AVA,6,10,2367.9610000000002,380.592,1987.369
AVA,6,11,2337.0190000000002,373.06,1963.959
AVA,6,12,2369.161333333333,368.2830000000001,2000.8783333333333
AVA,6,13,2582.998,371.1866666666666,2211.8113333333336
AVA,6,14,2772.509666666667,386.18233333333336,2386.3273333333336
AVA,6,15,2954.840333333333,422.65099999999984,2532.1893333333337
AVA,6,16,3069.6926666666664,416.2813333333334,2653.411333333334
AVA,6,17,3156.9970000000003,393.56266666666653,2763.434333333334
AVA,6,18,3235.270000000001,376.8783333333334,2858.3916666666673
AVA,6,19,3311.2276666666667,371.0589999999999,2940.168666666666
AVA,6,20,3374.529666666667,375.48466666666667,2999.045
AVA,6,21,3409.999333333333,371.89500000000004,3038.1043333333337
AVA,6,22,3447.3806666666665,390.2313333333333,3057.1493333333333
AVA,6,23,3472.928333333333,422.79300000000006,3050.1353333333336
AVA,7,0,4270.613225806451,458.52387096774186,3812.08935483871
AVA,7,1,4316.553870967742,493.5193548387098,3823.034516129032
AVA,7,2,4274.2661290322585,504.3206451612902,3769.9454838709676
AVA,7,3,4107.795806451612,493.1496774193549,3614.6461290322577
AVA,7,4,3955.7219354838708,477.1945161290321,3478.5274193548394
AVA,7,5,3703.5909677419354,472.9658064516128,3230.625161290323
AVA,7,6,3416.9999999999995,455.48612903225825,2961.513870967742
AVA,7,7,3130.9206451612904,431.307741935484,2699.6129032258063
AVA,7,8,2883.6525806451605,412.37516129032264,2471.2774193548385
AVA,7,9,2724.6341935483874,401.1548387096774,2323.4793548387097
AVA,7,10,2615.8941935483867,392.3606451612904,2223.5335483870967
AVA,7,11,2556.8064516129034,384.1432258064516,2172.6632258064515
AVA,7,12,2544.50935483871,380.94903225806445,2163.560322580645
AVA,7,13,2701.6390322580646,387.1993548387097,2314.439677419355
AVA,7,14,2895.933225806452,391.72096774193545,2504.212258064517
AVA,7,15,3163.5135483870977,423.7867741935484,2739.7267741935484
AVA,7,16,3378.266774193548,423.10064516129023,2955.166129032258
AVA,7,17,3546.566774193548,405.6261290322581,3140.9406451612904
AVA,7,18,3686.8009677419354,390.8712903225807,3295.929677419355
AVA,7,19,3807.7077419354837,388.3735483870969,3419.334193548387
AVA,7,20,3927.3461290322575,411.76806451612896,3515.5780645161285
AVA,7,21,3995.5293548387094,400.8519354838708,3594.6774193548385
AVA,7,22,4057.6706451612895,406.0309677419356,3651.6396774193545
AVA,7,23,4087.935806451613,430.1196774193549,3657.816129032259
AVA,8,0,4305.61129032258,459.85677419354846,3845.7545161290323
AVA,8,1,4331.936129032259,496.2732258064516,3835.6629032258065
AVA,8,2,4234.904193548388,516.5651612903226,3718.339032258065
AVA,8,3,4083.068064516129,489.59193548387094,3593.4761290322585
AVA,8,4,3942.8522580645167,479.8741935483871,3462.978064516129
AVA,8,5,3708.195806451612,477.0670967741935,3231.1287096774195
AVA,8,6,3442.19,468.9090322580646,2973.280967741936
AVA,8,7,3156.595806451613,430.85870967741937,2725.737096774193
AVA,8,8,2913.223225806451,411.17225806451614,2502.050967741935
AVA,8,9,2764.452258064516,401.55999999999995,2362.8922580645167
AVA,8,10,2664.852258064516,390.59,2274.262258064516
AVA,8,11,2614.9406451612904,381.85258064516137,2233.0880645161287
AVA,8,12,2612.347419354838,377.3374193548387,2235.0099999999998
AVA,8,13,2684.663225806452,378.8145161290322,2305.8487096774197
AVA,8,14,2923.1912903225807,393.17709677419356,2530.0141935483866
AVA,8,15,3174.109677419355,433.17419354838717,2740.9354838709683
AVA,8,16,3374.220322580645,426.7745161290322,2947.4458064516125
AVA,8,17,3533.3754838709683,403.70193548387095,3129.673548387098
AVA,8,18,3674.763548387096,385.6229032258065,3289.14064516129
AVA,8,19,3798.537741935483,377.19258064516134,3421.345161290323
AVA,8,20,3895.972258064516,377.40129032258056,3518.570967741935
AVA,8,21,3967.14870967742,375.4493548387097,3591.69935483871
AVA,8,22,4030.5970967741932,394.56419354838715,3636.0329032258064
AVA,8,23,4041.5293548387094,419.5458064516129,3621.983548387097
AVA,9,0,3695.8730000000005,441.36666666666673,3254.506333333333
AVA,9,1,3755.5643333333337,497.9146666666665,3257.6496666666667
AVA,9,2,3725.536333333333,496.84633333333335,3228.69
AVA,9,3,3656.804666666668,468.2996666666666,3188.5049999999997
AVA,9,4,3563.785666666666,461.4483333333333,3102.3373333333334
AVA,9,5,3353.111,453.9246666666666,2899.186333333333
AVA,9,6,3135.253666666667,440.15666666666664,2695.0969999999998
AVA,9,7,2919.3233333333337,414.6223333333334,2504.701
AVA,9,8,2728.0460000000007,396.5010000000001,2331.545
AVA,9,9,2599.757333333333,386.0333333333335,2213.7239999999997
AVA,9,10,2538.317333333333,378.0469999999999,2160.270333333333
AVA,9,11,2519.5283333333336,370.6993333333334,2148.829
AVA,9,12,2553.9076666666665,366.2030000000001,2187.7046666666665
AVA,9,13,2651.976666666667,369.96433333333323,2282.012333333333
AVA,9,14,2852.275,385.6443333333334,2466.6306666666665
AVA,9,15,3057.5563333333334,419.37466666666654,2638.181666666667
AVA,9,16,3147.1239999999993,405.89766666666657,2741.226333333333
AVA,9,17,3227.302333333333,390.5596666666665,2836.7426666666665
AVA,9,18,3314.948666666666,373.48200000000014,2941.4666666666667
AVA,9,19,3410.9769999999994,367.22200000000015,3043.7549999999997
AVA,9,20,3495.7803333333336,370.9870000000001,3124.793333333333
AVA,9,21,3551.9943333333335,369.9089999999999,3182.0853333333334
AVA,9,22,3584.0306666666665,385.2510000000002,3198.779666666667
AVA,9,23,3613.205,417.3716666666668,3195.833333333333
AVA,10,0,3556.18064516129,461.38161290322574,3094.7990322580645
AVA,10,1,3701.6629032258065,505.87806451612903,3195.7848387096774
AVA,10,2,3711.4532258064514,504.99193548387103,3206.461290322581
AVA,10,3,3714.612580645161,497.59774193548384,3217.014838709677
AVA,10,4,3606.680322580645,481.76096774193536,3124.91935483871
AVA,10,5,3416.195806451613,471.96516129032256,2944.2306451612903
AVA,10,6,3225.9574193548383,457.6025806451613,2768.354838709677
AVA,10,7,3039.9012903225807,431.8109677419355,2608.090322580645
AVA,10,8,2872.9900000000002,412.1,2460.89
AVA,10,9,2759.4916129032263,401.02741935483874,2358.464193548387
