Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030_CEC.dat,Load_CIPV_2030_CEC.dat,Load_CISC_2030_CEC.dat,Load_CISD_2030_CEC.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
Year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
1,10961.0,2836.96,5513.13,3434.41,8020.0,12708.82,1775.0,573.29,8761.594722263137,11424.868020263359,19722.33805205037,4376.5332781460975,410.27,1261.75,888.22,1537.57,480.98665236673645,1018.1890132127777,2109.4743344204862,8408.56,4753.6006605376815,2216.01,4131.63,1264.8135942460056,7272.967591398108,1977.6788143558856,4618.29,3753.99,9916.75,8064.76,2589.89,2218.479339462319,3780.96,2362.86,0.0,0.0,0.0,411.57,1350.36,134.59592727703878,6715.17,1621.31,259.65
2,10826.0,2903.06,5981.27,3689.72,7440.0,13093.52,1707.0,566.36,9152.085925637522,11934.05734059223,20601.333230831286,4571.588836017175,406.81,1372.13,901.47,1670.44,486.9379233484539,1030.7871148407967,2135.5749618107498,8949.83,5106.489415382877,2260.13,4188.42,1299.1286570490065,7470.2870547549155,2031.3342881960784,4701.15,3917.52,10295.11,8200.71,2645.2,2383.170584617123,3991.92,2462.47,0.0,0.0,0.0,480.53,1369.46,140.59466692179222,6853.41,1633.08,258.02
3,10744.0,2985.85,6019.84,3733.83,7173.0,13348.59,1665.0,554.01,9251.842420768979,12064.136946779096,20825.884968527054,4621.418534204956,399.16,1420.69,904.72,1666.62,488.846595251213,1034.8275362363897,2143.9458685123973,8938.15,5198.328580879318,2272.45,4241.71,1310.655217630911,7536.567415698106,2049.357366670983,4698.7,3957.13,10521.72,8315.46,2668.63,2426.031419120682,3945.33,2497.76,0.0,0.0,0.0,481.03,1370.77,142.12712971991826,6902.78,1626.32,254.2
4,10738.0,3020.64,6075.0,3780.95,7027.0,13310.72,1639.0,541.67,9380.262512286994,12231.593059878618,21114.95842351783,4685.566080619428,389.62,1400.37,894.24,1645.64,488.08952427302364,1033.224910990093,2140.6255647368835,8906.73,5180.922093164959,2269.37,4269.01,1322.5654756797496,7605.054124876805,2067.980399443446,4635.28,3907.14,10461.89,8293.06,2671.6,2417.907906835041,3889.86,2507.85,0.0,0.0,0.0,480.27,1366.33,144.0999236971321,6814.68,1605.44,251.36
5,10778.0,2942.77,6130.55,3785.3,7019.0,13104.29,1628.0,526.97,9555.932566056596,12460.66176746566,21510.39148061443,4773.3156126016365,379.05,1379.11,882.33,1623.98,487.69232858376233,1032.3840970404515,2138.8835743757863,8876.79,5135.800222544658,2245.25,4259.48,1323.386997215536,7609.778061694524,2069.2649410899407,4499.49,3801.38,10173.32,8193.75,2658.04,2396.849777455341,3847.53,2475.78,0.0,0.0,0.0,480.84,1340.48,146.79857326167388,6716.35,1596.98,248.01
6,10930.0,2847.76,5927.33,3639.74,7137.0,12763.84,1660.0,511.83,9270.095443130745,12087.938363994186,20866.97249755595,4630.536162025613,368.96,1333.43,871.59,1577.73,469.7358845376934,994.3725348606818,2060.1315806016246,8723.38,5037.395272610722,2178.91,4124.98,1286.151503535684,7395.665452520117,2011.0430439442,4345.41,3671.38,9876.99,7872.8,2558.06,2350.9247273892784,3765.95,2397.85,0.0,0.0,0.0,466.18,1284.38,142.40753329349923,6680.94,1579.87,244.88
7,11282.0,2746.41,5764.73,3525.67,7562.0,12374.18,1697.0,498.34,8951.35988061424,11672.316339631152,20149.499170789564,4471.323502629541,359.79,1276.41,861.45,1552.61,442.2440782064717,936.1757948428725,1939.5601269506558,8676.57,4880.839153967123,2082.01,3979.01,1234.4990887314757,7098.652247888641,1930.2786633798835,4177.94,3489.07,9481.83,7492.95,2471.72,2277.860846032877,3634.62,2329.26,0.0,0.0,0.0,448.07,1232.25,137.51110633550857,6459.97,1565.74,234.03
8,11785.0,2616.43,5407.6,3342.5,8548.0,11779.34,1772.0,483.66,8439.932048747616,11005.429127178992,18998.275802323216,4215.858487813581,346.5,1224.48,846.21,1435.47,418.4389942796018,885.7833883307968,1835.1576173896015,8114.9,4621.930433064239,1993.14,3809.09,1184.0314451025959,6808.451748623862,1851.3668062735428,3918.68,3330.64,9099.51,6904.46,2284.78,2157.029566935761,3495.24,2219.13,0.0,0.0,0.0,423.59,1149.25,129.65453393659791,6298.89,1535.53,223.98
9,11994.0,2496.41,5136.83,3169.53,9676.0,11288.31,1815.0,473.4,7970.850676475203,10393.760482501935,17942.37425801091,3981.5460936677837,333.85,1173.97,831.47,1343.59,399.9640632431884,846.6742535791797,1754.131683177632,7599.33,4381.178185637006,1928.01,3637.25,1149.147451572762,6607.860803400611,1796.8217450266268,3663.35,3205.41,8722.98,6548.13,2144.25,2044.671814362994,3360.07,2118.68,0.0,0.0,0.0,402.62,1108.69,122.44848934417207,6202.88,1522.06,217.85
10,11937.0,2409.04,5012.44,3020.63,10039.0,10877.75,1865.0,465.11,7603.194489297293,9914.34736782458,17114.780670279008,3797.8969305751534,326.09,1146.5,818.08,1305.84,390.45935700116655,826.5539707775217,1712.446672221312,7281.85,4231.75374977806,1880.53,3476.69,1113.900208403386,6405.181089628385,1741.7087019682301,3470.3,3107.71,8461.22,6279.47,2041.25,1974.9362502219394,3231.96,2057.26,0.0,0.0,0.0,391.32,1062.67,116.80054202396445,6116.92,1508.69,212.69
11,11971.0,2361.67,4948.3,2895.35,10062.0,10622.64,1893.0,461.64,7310.086927596269,9532.143520884894,16454.99593921961,3651.4857989804423,319.78,1118.81,808.21,1287.88,389.5916576934178,824.7171590955865,1708.6411832109957,7038.65,4159.966476317628,1850.58,3388.89,1096.8659653729221,6307.2302942952465,1715.0737403318317,3309.69,3061.0,8253.81,6023.75,1973.42,1941.433523682372,3153.8,2033.29,0.0,0.0,0.0,386.82,1030.41,112.29781331878748,6102.88,1505.33,210.35
12,11985.0,2339.08,4948.14,2824.37,10176.0,10434.41,1905.0,462.55,7084.093839515468,9237.455021055725,15946.28579890339,3538.5992409999167,316.32,1116.62,803.25,1257.82,390.5446607733569,826.7345482700621,1712.820790956581,6808.15,4110.20151202969,1849.72,3311.66,1091.5050261562312,6276.403667067468,1706.691306776301,3218.3,3050.03,8144.32,5850.98,1920.24,1918.2084879703098,3164.95,2030.55,0.0,0.0,0.0,382.16,996.78,108.82609952550443,6098.28,1502.48,210.74
13,11992.0,2344.74,5068.35,2790.48,10155.0,10319.59,1907.0,460.7,7042.066916297161,9182.653119542654,15851.683250705983,3517.606233006104,317.05,1130.49,800.73,1240.26,392.2653978030092,830.3771348774021,1720.367467319589,6731.97,4087.0610422676323,1870.19,3306.89,1093.1372439074203,6285.789292633565,1709.2434634590147,3182.06,3061.56,8152.67,5770.87,1849.86,1907.4089577323678,3220.4,2039.52,0.0,0.0,0.0,375.47,964.78,108.18048044810115,6145.58,1503.56,214.07
