Index,Load_AESO_2030.dat,Load_AVA_2030.dat,Load_AZPS_2030.dat,Load_BANC_2030.dat,Load_BCHA_2030.dat,Load_BPAT_2030.dat,Load_CFE_2030.dat,Load_CHPD_2030.dat,Load_CIPB_2030_CEC.dat,Load_CIPV_2030_CEC.dat,Load_CISC_2030_CEC.dat,Load_CISD_2030_CEC.dat,Load_DOPD_2030.dat,Load_EPE_2030.dat,Load_GCPD_2030.dat,Load_IID_2030.dat,Load_IPFE_2030.dat,Load_IPMV_2030.dat,Load_IPTV_2030.dat,Load_LDWP_2030.dat,Load_NEVP_2030.dat,Load_NWMT_2030.dat,Load_PACW_2030.dat,Load_PAID_2030.dat,Load_PAUT_2030.dat,Load_PAWY_2030.dat,Load_PGE_2030.dat,Load_PNM_2030.dat,Load_PSCO_2030.dat,Load_PSEI_2030.dat,Load_SCL_2030.dat,Load_SPPC_2030.dat,Load_SRP_2030.dat,Load_TEPC_2030.dat,Load_TH_Malin_2030.dat,Load_TH_Mead_2030.dat,Load_TH_PV_2030.dat,Load_TIDC_2030.dat,Load_TPWR_2030.dat,Load_VEA_2030.dat,Load_WACM_2030.dat,Load_WALC_2030.dat,Load_WAUW_2030.dat
Year,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030,2030
1,10961.0,2362.77,4479.51,3090.24,8020.0,10269.85,1775.0,416.77,7459.925818533611,9727.529133610382,16792.283083180002,3726.3323210275603,327.98,984.23,733.88,1103.09,363.06751602798045,768.5688450087832,1592.3136389632361,6746.06,3573.484429039354,1824.6,3793.11,1021.6167577589666,5874.530131406074,1597.4131108349588,3831.19,2574.85,8439.86,6582.7,2091.23,1667.7255709606459,3031.42,2039.34,0.0,0.0,0.0,386.35,1099.14,114.59964364844524,5374.21,1333.61,177.81
2,10826.0,2435.06,4872.89,3272.31,7440.0,10803.34,1707.0,437.03,7949.530499394117,10365.959583574127,17894.38256779334,3970.8963812068496,337.03,1042.59,743.29,1200.8,374.17433374145236,792.0805988422171,1641.0250674163308,7388.85,3851.3268813886834,1851.18,3892.16,1042.2510212237037,5993.181868020958,1629.6771107553384,4030.83,2677.08,8629.16,6927.56,2179.07,1797.3931186113168,3283.02,2163.59,0.0,0.0,0.0,418.59,1155.34,122.12096803156811,5345.24,1384.07,173.94
3,10744.0,2489.8,4796.86,3314.31,7173.0,11061.43,1665.0,431.01,8065.685916928398,10517.422913850714,18155.84825797952,4028.9175595870825,338.73,1108.02,746.09,1172.29,378.6327887098386,801.5185943507777,1660.5786169393837,7158.04,3907.371271914351,1848.74,3989.13,1050.7837793128228,6042.247179565463,1643.0190411217136,4122.12,2694.54,8668.03,7083.08,2195.82,1823.5487280856491,3374.44,2144.52,0.0,0.0,0.0,425.04,1167.37,123.90535165428376,5300.89,1378.79,169.21
4,10738.0,2524.11,4733.98,3328.8,7027.0,11174.95,1639.0,419.13,8158.118717222027,10637.952632192366,18363.914368348265,4075.088974643451,340.41,1085.29,747.84,1123.41,383.942948528688,812.7595432614222,1683.86750820989,6936.82,3934.7798424634,1826.0,4049.09,1053.7535255380888,6059.32389992117,1647.6625745407412,4136.93,2667.67,8331.98,7150.26,2191.41,1836.3401575366,3438.73,2113.98,0.0,0.0,0.0,424.64,1168.97,125.3253075938939,5190.53,1362.83,165.44
5,10778.0,2475.48,4695.84,3237.87,7019.0,10933.93,1628.0,407.13,8242.843195558686,10748.430919965984,18554.629056256996,4117.409980198725,343.24,1064.16,742.89,1080.36,379.8603633065154,804.1172173293679,1665.9624193641168,6888.45,3894.5328792915,1788.99,3940.01,1048.6127011692001,6029.762983436645,1639.624315394154,4027.33,2601.45,8028.01,6959.83,2169.37,1817.5571207084997,3328.05,2072.16,0.0,0.0,0.0,423.55,1147.25,126.62684801961224,5090.27,1347.9,162.05
6,10930.0,2393.25,4452.47,3092.49,7137.0,10446.96,1660.0,398.19,7916.294771406672,10322.621148294866,17819.56898835342,3954.294692339541,338.62,1029.24,735.02,1020.04,364.8029146434779,772.2424683726534,1599.9246169838686,6726.33,3790.1894057386025,1718.43,3793.31,1011.4012637568675,5815.788703305217,1581.4400329379152,3855.81,2507.39,7659.88,6698.95,2090.13,1768.8605942613974,3184.72,1987.26,0.0,0.0,0.0,412.7,1100.6,121.61039960549944,5072.5,1334.75,160.39
7,11282.0,2309.18,4300.45,2963.38,7562.0,10013.28,1697.0,391.83,7557.865690194655,9855.239914937178,17012.745603863063,3775.2545915923874,335.03,981.76,728.24,987.78,344.27802733161514,728.7938307534231,1509.9081419149618,6661.65,3672.3939148490695,1627.61,3643.18,964.3881001437691,5545.452254612163,1507.9296452440683,3689.74,2359.77,7239.32,6393.29,2021.47,1713.8860851509303,3045.28,1927.44,0.0,0.0,0.0,402.19,1060.23,116.1041994127191,4889.97,1322.72,151.82
8,11785.0,2203.61,3937.3,2763.46,8548.0,9557.34,1772.0,378.18,7013.910238729162,9145.93762021853,15788.3026069965,3503.5415974820194,328.23,939.34,721.25,858.52,328.010331400627,694.3571386212907,1438.5625299780822,6016.7,3465.343300313367,1554.85,3486.38,922.631230983652,5305.34070180993,1442.638067206418,3402.4,2223.2,6851.88,5999.54,1883.51,1617.2566996866333,2891.76,1823.42,0.0,0.0,0.0,376.86,1006.18,107.74793657379074,4729.45,1299.31,144.6
9,11994.0,2104.76,3643.34,2584.64,9676.0,9168.99,1815.0,363.47,6523.485020014485,8506.437212446108,14684.35609276613,3258.5676677140773,316.9,896.49,717.72,757.1,317.7565514090587,672.6511597132617,1393.5922888776797,5460.01,3290.5011651989844,1500.05,3324.12,888.745572555872,5110.490411870292,1389.6540155738371,3128.59,2121.4,6506.56,5634.25,1748.34,1535.6588348010155,2791.25,1739.69,0.0,0.0,0.0,354.76,954.26,100.21400705919933,4639.2,1281.76,139.36
